date,wt0,wt1,wt2,wt3,wt4,wt5
1807-01-01,4,5,-1,-1,-1,-1
1807-01-02,5,-1,-1,-1,-1,-1
1807-01-03,5,-1,-1,-1,-1,-1
1807-01-04,1,4,6,-1,-1,-1
1807-01-05,5,4,-1,-1,-1,-1
1807-01-06,5,-1,-1,-1,-1,-1
1807-01-07,5,-1,-1,-1,-1,-1
1807-01-08,5,-1,-1,-1,-1,-1
1807-01-09,3,5,-1,-1,-1,-1
1807-01-10,5,-1,-1,-1,-1,-1
1807-01-11,5,-1,-1,-1,-1,-1
1807-01-12,5,-1,-1,-1,-1,-1
1807-01-13,2,6,-1,-1,-1,-1
1807-01-14,6,-1,-1,-1,-1,-1
1807-01-15,4,-1,-1,-1,-1,-1
1807-01-16,2,6,1,-1,-1,-1
1807-01-17,2,7,1,-1,-1,-1
1807-01-18,2,-1,-1,-1,-1,-1
1807-01-19,7,-1,-1,-1,-1,-1
1807-01-20,7,-1,-1,-1,-1,-1
1807-01-21,7,-1,-1,-1,-1,-1
1807-01-22,7,-1,-1,-1,-1,-1
1807-01-23,7,-1,-1,-1,-1,-1
1807-01-24,6,1,-1,-1,-1,-1
1807-01-25,1,6,5,-1,-1,-1
1807-01-26,5,-1,-1,-1,-1,-1
1807-01-27,4,5,-1,-1,-1,-1
1807-01-28,5,-1,-1,-1,-1,-1
1807-01-29,5,-1,-1,-1,-1,-1
1807-01-30,5,-1,-1,-1,-1,-1
1807-01-31,3,1,-1,-1,-1,-1
1807-02-01,2,7,1,-1,-1,-1
1807-02-02,7,-1,-1,-1,-1,-1
1807-02-03,7,-1,-1,-1,-1,-1
1807-02-04,7,-1,-1,-1,-1,-1
1807-02-05,7,-1,-1,-1,-1,-1
1807-02-06,7,-1,-1,-1,-1,-1
1807-02-07,6,7,-1,-1,-1,-1
1807-02-08,7,1,3,-1,-1,-1
1807-02-09,2,7,-1,-1,-1,-1
1807-02-10,7,2,-1,-1,-1,-1
1807-02-11,3,1,7,5,-1,-1
1807-02-12,4,-1,-1,-1,-1,-1
1807-02-13,5,7,-1,-1,-1,-1
1807-02-14,5,-1,-1,-1,-1,-1
1807-02-15,5,-1,-1,-1,-1,-1
1807-02-16,5,-1,-1,-1,-1,-1
1807-02-17,3,5,-1,-1,-1,-1
1807-02-18,7,-1,-1,-1,-1,-1
1807-02-19,7,6,-1,-1,-1,-1
1807-02-20,4,-1,-1,-1,-1,-1
1807-02-21,3,-1,-1,-1,-1,-1
1807-02-22,3,-1,-1,-1,-1,-1
1807-02-23,1,2,3,7,-1,-1
1807-02-24,7,1,-1,-1,-1,-1
1807-02-25,3,-1,-1,-1,-1,-1
1807-02-26,3,-1,-1,-1,-1,-1
1807-02-27,1,7,-1,-1,-1,-1
1807-02-28,4,-1,-1,-1,-1,-1
1807-03-01,5,-1,-1,-1,-1,-1
1807-03-02,5,-1,-1,-1,-1,-1
1807-03-03,5,-1,-1,-1,-1,-1
1807-03-04,4,5,3,-1,-1,-1
1807-03-05,7,6,-1,-1,-1,-1
1807-03-06,7,6,-1,-1,-1,-1
1807-03-07,7,6,-1,-1,-1,-1
1807-03-08,7,-1,-1,-1,-1,-1
1807-03-09,7,-1,-1,-1,-1,-1
1807-03-10,1,-1,-1,-1,-1,-1
1807-03-11,4,1,-1,-1,-1,-1
1807-03-12,4,5,-1,-1,-1,-1
1807-03-13,4,5,-1,-1,-1,-1
1807-03-14,1,2,-1,-1,-1,-1
1807-03-15,6,-1,-1,-1,-1,-1
1807-03-16,7,-1,-1,-1,-1,-1
1807-03-17,7,-1,-1,-1,-1,-1
1807-03-18,7,-1,-1,-1,-1,-1
1807-03-19,3,-1,-1,-1,-1,-1
1807-03-20,5,3,-1,-1,-1,-1
1807-03-21,5,-1,-1,-1,-1,-1
1807-03-22,5,-1,-1,-1,-1,-1
1807-03-23,5,-1,-1,-1,-1,-1
1807-03-24,5,-1,-1,-1,-1,-1
1807-03-25,4,1,-1,-1,-1,-1
1807-03-26,1,-1,-1,-1,-1,-1
1807-03-27,6,-1,-1,-1,-1,-1
1807-03-28,6,7,-1,-1,-1,-1
1807-03-29,7,-1,-1,-1,-1,-1
1807-03-30,6,7,-1,-1,-1,-1
1807-03-31,7,6,-1,-1,-1,-1
1807-04-01,7,6,-1,-1,-1,-1
1807-04-02,6,-1,-1,-1,-1,-1
1807-04-03,1,2,-1,-1,-1,-1
1807-04-04,4,1,-1,-1,-1,-1
1807-04-05,4,5,-1,-1,-1,-1
1807-04-06,5,-1,-1,-1,-1,-1
1807-04-07,3,4,1,-1,-1,-1
1807-04-08,4,3,1,-1,-1,-1
1807-04-09,5,4,-1,-1,-1,-1
1807-04-10,3,1,-1,-1,-1,-1
1807-04-11,2,7,-1,-1,-1,-1
1807-04-12,7,2,-1,-1,-1,-1
1807-04-13,7,-1,-1,-1,-1,-1
1807-04-14,7,-1,-1,-1,-1,-1
1807-04-15,7,-1,-1,-1,-1,-1
1807-04-16,7,-1,-1,-1,-1,-1
1807-04-17,7,-1,-1,-1,-1,-1
1807-04-18,7,6,-1,-1,-1,-1
1807-04-19,6,-1,-1,-1,-1,-1
1807-04-20,6,-1,-1,-1,-1,-1
1807-04-21,1,6,-1,-1,-1,-1
1807-04-22,1,2,-1,-1,-1,-1
1807-04-23,3,4,-1,-1,-1,-1
1807-04-24,3,4,-1,-1,-1,-1
1807-04-25,3,5,-1,-1,-1,-1
1807-04-26,5,-1,-1,-1,-1,-1
1807-04-27,5,-1,-1,-1,-1,-1
